ExpressionSet.ApiName,ConstraintModelTag,ConstraintModelTagType,ReferenceObjectId,$Product2ReferenceId,$ProductClassificationName,$ProductRelatedComponentKey
01tSB000004V4KKYA0,LineItem,Type,01tSB000004V4KKYA0,01tSB000004V4KKYA0,,
01tSB000004V4KKYA0,LineItem,Type,01tSB000004V4KKYA0,01tSB000004V4KKYA0,,
01tSB000004V4KKYA0,LineItem,Type,01tSB000004V4KKYA0,01tSB000004V4KKYA0,,
01tSB000004V4KKYA0,LineItem,Type,01tSB000004V4KKYA0,01tSB000004V4KKYA0,,
